Batch Counter	Cache Name	CacheSize	MemoryBytes	MemoryMB	Avg Object Size
1	CreditCards	44.0	22336.0	0.02130126953125	507.6363636363636
1	Customers	20.0	15008.0	0.014312744140625	750.4
1	Items	20.0	8704.0	0.00830078125	435.2
1	Orders	31.0	36624.0	0.0349273681640625	1181.4193548387098
1	sequences	5.0	1792.0	0.001708984375	358.4
2	CreditCards	87.0	44256.0	0.042205810546875	508.6896551724138
2	Customers	40.0	30128.0	0.0287322998046875	753.2
2	Items	20.0	8704.0	0.00830078125	435.2
2	Orders	69.0	81712.0	0.0779266357421875	1184.231884057971
2	sequences	5.0	1792.0	0.001708984375	358.4
3	CreditCards	108.0	55008.0	0.052459716796875	509.3333333333333
3	Customers	50.0	37680.0	0.0359344482421875	753.6
3	Items	20.0	8704.0	0.00830078125	435.2
3	Orders	87.0	103232.0	0.09844970703125	1186.5747126436781
3	sequences	5.0	1792.0	0.001708984375	358.4
6	CreditCards	108.0	55008.0	0.052459716796875	509.3333333333333
6	Customers	50.0	37680.0	0.0359344482421875	753.6
6	Items	20.0	8704.0	0.00830078125	435.2
6	Orders	87.0	103232.0	0.09844970703125	1186.5747126436781
6	sequences	5.0	1792.0	0.001708984375	358.4
7	CreditCards	108.0	55008.0	0.052459716796875	509.3333333333333
7	Customers	50.0	37680.0	0.0359344482421875	753.6
7	Items	20.0	8704.0	0.00830078125	435.2
7	Orders	87.0	103232.0	0.09844970703125	1186.5747126436781
7	sequences	5.0	1792.0	0.001708984375	358.4
