Batch Counter	Report Time	JVM Uptime	Node Id	GC Name	CollectionCount	Delta Collection Count	CollectionTime	Delta Collection Time	Last GC Start Time	Last GC Duration Millis	Heap Committed	Heap Init	Heap Max	Heap Used
1	Mon Feb 16 17:29:27 IST 2015	65846	1	Copy	2	2	26	26	15440	14.0	129761280	134217728	129761280	23432256
1	Mon Feb 16 17:29:27 IST 2015	53236	2	Copy	2	2	30	30	33057	13.0	129761280	134217728	129761280	13356168
1	Mon Feb 16 17:29:27 IST 2015	65862	1	MarkSweepCompact	0	0	0	0	0	0.0	129761280	134217728	129761280	24044880
1	Mon Feb 16 17:29:27 IST 2015	53236	2	MarkSweepCompact	0	0	0	0	0	0.0	129761280	134217728	129761280	13356168
2	Mon Feb 16 17:30:27 IST 2015	126097	1	Copy	3	1.0	37	11.0	65967	11.0	129761280	134217728	129761280	45271416
2	Mon Feb 16 17:30:27 IST 2015	113450	2	Copy	2	0.0	30	0.0	33057	13.0	129761280	134217728	129761280	22628104
2	Mon Feb 16 17:30:27 IST 2015	126099	1	MarkSweepCompact	0	0.0	0	0.0	0	0.0	129761280	134217728	129761280	45978472
2	Mon Feb 16 17:30:27 IST 2015	113450	2	MarkSweepCompact	0	0.0	0	0.0	0	0.0	129761280	134217728	129761280	22628104
3	Mon Feb 16 17:31:28 IST 2015	186270	1	Copy	5	2.0	45	8.0	126202	3.0	129761280	134217728	129761280	28164576
3	Mon Feb 16 17:31:28 IST 2015	173621	2	Copy	2	0.0	30	0.0	33057	13.0	129761280	134217728	129761280	29610328
3	Mon Feb 16 17:31:28 IST 2015	186272	1	MarkSweepCompact	0	0.0	0	0.0	0	0.0	129761280	134217728	129761280	28697048
3	Mon Feb 16 17:31:28 IST 2015	173621	2	MarkSweepCompact	0	0.0	0	0.0	0	0.0	129761280	134217728	129761280	29610328
4	Mon Feb 16 17:32:28 IST 2015	366416	1	Copy	6	1.0	55	10.0	226405	10.0	129761280	134217728	129761280	35458200
4	Mon Feb 16 17:32:28 IST 2015	353768	2	Copy	2	0.0	30	0.0	33057	13.0	129761280	134217728	129761280	32755784
4	Mon Feb 16 17:32:28 IST 2015	366418	1	MarkSweepCompact	0	0.0	0	0.0	0	0.0	129761280	134217728	129761280	35994400
4	Mon Feb 16 17:32:28 IST 2015	353768	2	MarkSweepCompact	0	0.0	0	0.0	0	0.0	129761280	134217728	129761280	32755784
7	Mon Feb 16 17:35:28 IST 2015	426568	1	Copy	8	2.0	66	11.0	426531	8.0	129761280	134217728	129761280	14595288
7	Mon Feb 16 17:35:28 IST 2015	413928	2	Copy	2	0.0	30	0.0	33057	13.0	129761280	134217728	129761280	33819520
7	Mon Feb 16 17:35:28 IST 2015	426772	1	MarkSweepCompact	0	0.0	0	0.0	0	0.0	129761280	134217728	129761280	14927760
7	Mon Feb 16 17:35:28 IST 2015	413928	2	MarkSweepCompact	0	0.0	0	0.0	0	0.0	129761280	134217728	129761280	33819520
