Batch Counter	Report Time	RefreshTime	Node Id	Tx Success	Rx Success	PacketsSent	Current Packets Sent	PacketsResent	Current Packet Resent	PacketsRepeated	Current Repeated	PacketsReceived	Current Packets Received
1	Mon Feb 16 17:29:27 IST 2015	Mon Feb 16 17:29:27 IST 2015	1	1.0	1.0	1115	1115	0	0	0	0	1181	1181
1	Mon Feb 16 17:29:27 IST 2015	Mon Feb 16 17:29:27 IST 2015	2	0.9761061946902655	1.0	1130	1130	27	27	0	0	1093	1093
2	Mon Feb 16 17:30:27 IST 2015	Mon Feb 16 17:30:27 IST 2015	1	1.0	1.0	1961	846.0	0	0.0	0	0.0	2053	872.0
2	Mon Feb 16 17:30:27 IST 2015	Mon Feb 16 17:30:27 IST 2015	2	1.0	1.0	1919	789.0	27	0.0	0	0.0	1929	836.0
3	Mon Feb 16 17:31:27 IST 2015	Mon Feb 16 17:31:27 IST 2015	1	0.9878296146044625	1.0	2455	493.0	6	6.0	0	0.0	2524	471.0
3	Mon Feb 16 17:31:27 IST 2015	Mon Feb 16 17:31:27 IST 2015	2	1.0	1.0	2330	411.0	27	0.0	0	0.0	2416	487.0
4	Mon Feb 16 17:32:28 IST 2015	Mon Feb 16 17:32:28 IST 2015	1	1.0	1.0	2528	73.0	6	0.0	0	0.0	2610	86.0
4	Mon Feb 16 17:32:28 IST 2015	Mon Feb 16 17:32:28 IST 2015	2	1.0	1.0	2357	27.0	27	0.0	0	0.0	2491	75.0
5	Mon Feb 16 17:33:28 IST 2015	Mon Feb 16 17:33:28 IST 2015	1	1.0	1.0	2603	75.0	6	0.0	0	0.0	2698	88.0
5	Mon Feb 16 17:33:28 IST 2015	Mon Feb 16 17:33:28 IST 2015	2	1.0	1.0	2384	27.0	27	0.0	0	0.0	2565	74.0
6	Mon Feb 16 17:34:28 IST 2015	Mon Feb 16 17:34:28 IST 2015	1	1.0	1.0	2677	74.0	6	0.0	0	0.0	2785	87.0
6	Mon Feb 16 17:34:28 IST 2015	Mon Feb 16 17:34:28 IST 2015	2	1.0	1.0	2411	27.0	27	0.0	0	0.0	2639	74.0
7	Mon Feb 16 17:35:28 IST 2015	Mon Feb 16 17:35:28 IST 2015	1	1.0	1.0	2751	74.0	6	0.0	0	0.0	2855	70.0
7	Mon Feb 16 17:35:28 IST 2015	Mon Feb 16 17:35:28 IST 2015	2	1.0	1.0	2438	27.0	27	0.0	0	0.0	2713	74.0
